Player,Position,Price,Year,Owner
Robert Griffin III,QB,7,2014,Naki
LeSean McCoy,RB,68,2014,Naki
Frank Gore,RB,31,2014,Naki
Keenan Allen,WR,26,2014,Naki
Golden Tate,WR,6,2014,Naki
Riley Cooper,WR,8,2014,Naki
Jason Witten,TE,10,2014,Naki
Justin Tucker,K,1,2014,Naki
Greg Olsen,TE,10,2014,Naki
Joique Bell,RB,9,2014,Naki
Michael Floyd,WR,5,2014,Naki
Carlos Hyde,RB,4,2014,Naki
Andy Dalton,QB,3,2014,Naki
Emmanuel Sanders,WR,6,2014,Naki
Fred Jackson,RB,5,2014,Naki
Jay Cutler,QB,10,2014,Alec
Matt Forte,RB,58,2014,Alec
Toby Gerhart,RB,18,2014,Alec
Dez Bryant,WR,46,2014,Alec
Victor Cruz,WR,30,2014,Alec
Rashad Jennings,RB,21,2014,Alec
Dennis Pitta,TE,5,2014,Alec
Mason Crosby,K,1,2014,Alec
Devonta Freeman,RB,1,2014,Alec
Donald Brown,RB,3,2014,Alec
Reuben Randle,WR,1,2014,Alec
Marvin Jones,WR,2,2014,Alec
James White,RB,1,2014,Alec
Andrew Hawkins,WR,1,2014,Alec
Knile Davis,RB,1,2014,Alec
Colin Kaepernick,QB,10,2014,Mount
Ben Tate,RB,18,2014,Mount
Giovani Bernard,RB,40,2014,Mount
Calvin Johnson,WR,58,2014,Mount
Randall Cobb,WR,34,2014,Mount
Ray Rice,RB,15,2014,Mount
Kyle Rudolph,TE,1,2014,Mount
Blair Walsh,K,1,2014,Mount
Lamar Miller,RB,6,2014,Mount
Marques Colston,WR,5,2014,Mount
DeAndre Hopkins,WR,3,2014,Mount
Markus Wheaton,WR,2,2014,Mount
Aaron Dobson,WR,2,2014,Mount
Tre Mason,RB,1,2014,Mount
Andre Brown,RB,1,2014,Mount
Matt Ryan,QB,8,2014,Babcock
LeVeon Bell,RB,36,2014,Babcock
Montee Ball,RB,42,2014,Babcock
Michael Crabtree,WR,24,2014,Babcock
TY Hilton,WR,7,2014,Babcock
Chris Johnson,RB,21,2014,Babcock
Zach Ertz,TE,9,2014,Babcock
Greg Zuerlein,K,1,2014,Babcock
Maurice Jones-Drew,RB,8,2014,Babcock
Eric Decker,WR,5,2014,Babcock
Julian Edelman,WR,7,2014,Babcock
Stevan Ridley,RB,6,2014,Babcock
Torrey Smith,WR,7,2014,Babcock
Kenny Britt,WR,3,2014,Babcock
Kelvin Benjamin,WR,6,2014,Babcock
Andrew Luck,QB,21,2014,Casey
Eddie Lacy,RB,52,2014,Casey
Ryan Mathews,RB,22,2014,Casey
Demaryius Thomas,WR,47,2014,Casey
Vincent Jackson,WR,27,2014,Casey
Pierre Thomas,WR,3,2014,Casey
Vernon Davis,TE,15,2014,Casey
Phil Dawson,K,1,2014,Casey
Justin Hunter,WR,1,2014,Casey
Danny Woodhead,RB,4,2014,Casey
Jared Cook,TE,1,2014,Casey
Alex Smith,QB,1,2014,Casey
Steve Smith,WR,2,2014,Casey
Jarrett Boykin,WR,1,2014,Casey
Ahmad Bradshaw,RB,1,2014,Casey
Peyton Manning,QB,45,2014,Jordan
DeMarco Murray,RB,43,2014,Jordan
Arian Foster,RB,36,2014,Jordan
Roddy White,WR,20,2014,Jordan
Percy Harvin,WR,22,2014,Jordan
Hakeem Nicks,WR,2,2014,Jordan
Martellus Bennett,TE,1,2014,Jordan
Sebastian Janikowski,K,1,2014,Jordan
Russell Wilson,QB,7,2014,Jordan
Darren McFadden,RB,6,2014,Jordan
Khiry Robinson,RB,3,2014,Jordan
Rod Streeter,WR,2,2014,Jordan
Jonathan Stewart,RB,2,2014,Jordan
DeAngelo Williams,RB,4,2014,Jordan
Mike Wallace,WR,5,2014,Jordan
Cam Newton,QB,13,2014,Oatman
Adrian Peterson,RB,66,2014,Oatman
Zac Stacy,RB,38,2014,Oatman
Antonio Brown,WR,36,2014,Oatman
Andre Johnson,WR,27,2014,Oatman
Brandin Cooks,WR,5,2014,Oatman
Heath Miller,TE,1,2014,Oatman
Nick Novak,K,1,2014,Oatman
Kendall Wright,WR,5,2014,Oatman
Christine Michael,RB,2,2014,Oatman
Mark Ingram,RB,1,2014,Oatman
Andrew Quarless,TE,1,2014,Oatman
Stepfan Taylor,RB,1,2014,Oatman
Jonathan Grimes,RB,1,2014,Oatman
Brian Hartline,WR,1,2014,Oatman
Tony Romo,QB,9,2014,Kooper
CJ Spiller,RB,24,2014,Kooper
Trent Richardson,RB,12,2014,Kooper
AJ Green,WR,45,2014,Kooper
Julio Jones,WR,35,2014,Kooper
Jeremy Maclin,WR,18,2014,Kooper
Rob Gronkowski,TE,22,2014,Kooper
Stephen Gostkowski,K,2,2014,Kooper
Tom Brady,QB,6,2014,Kooper
Terrance West,RB,2,2014,Kooper
Mike Evans,WR,4,2014,Kooper
Steven Jackson,RB,8,2014,Kooper
Johnny Manziel,QB,1,2014,Kooper
Reggie Wayne,WR,6,2014,Kooper
Shonn Greene,RB,1,2014,Kooper
Aaron Rodgers,QB,37,2014,Sirpi
Alfred Morris,RB,37,2014,Sirpi
Bishop Sankey,RB,9,2014,Sirpi
Alshon Jeffery,WR,32,2014,Sirpi
Cordarrelle Patterson,WR,30,2014,Sirpi
James Starks,RB,2,2014,Sirpi
Julius Thomas,TE,30,2014,Sirpi
Shane Graham,K,1,2014,Sirpi
Terrance Williams,WR,7,2014,Sirpi
Marvin McNutt,WR,1,2014,Sirpi
Ka'Deem Carey,RB,2,2014,Sirpi
Kenny Stills,WR,1,2014,Sirpi
Andre Holmes,WR,3,2014,Sirpi
Jordan Matthews,WR,2,2014,Sirpi
Dexter McCluster,RB,5,2014,Sirpi
Matt Stafford,QB,24,2014,Badillo
Marshawn Lynch,RB,58,2014,Badillo
Shane Vereen,RB,9,2014,Badillo
Jordy Nelson,WR,38,2014,Badillo
Larry Fitzgerald,WR,24,2014,Badillo
Pierre Garcon,WR,30,2014,Badillo
Charles Clay,TE,1,2014,Badillo
Adam Vinatieri,K,1,2014,Badillo
Danny Amendola,WR,4,2014,Badillo
Ben Roethlisberger,QB,1,2014,Badillo
Andre Williams,RB,3,2014,Badillo
Knowshon Moreno,RB,1,2014,Badillo
LaDarius Green,TE,2,2014,Badillo
Stevie Johnson,WR,1,2014,Badillo
Greg Jennings,WR,1,2014,Badillo
Drew Brees,QB,40,2014,Steven
Reggie Bush,RB,30,2014,Steven
Darren Sproles,RB,1,2014,Steven
Brandon Marshall,WR,39,2014,Steven
Cecil Shorts,WR,3,2014,Steven
DeSean Jackson,WR,20,2014,Steven
Jimmy Graham,TE,49,2014,Steven
Matt Prater,K,3,2014,Steven
Josh Gordon,WR,8,2014,Steven
Tavon Austin,WR,1,2014,Steven
Marquise Lee,WR,1,2014,Steven
Kenbrell Thompkins,WR,1,2014,Steven
Doug Baldwin,WR,1,2014,Steven
Chris Ivory,RB,1,2014,Steven
Teddy Bridgewater,QB,1,2014,Steven
Philip Rivers,QB,5,2014,Graysmark
Jamaal Charles,RB,67,2014,Graysmark
Doug Martin,RB,38,2014,Graysmark
Sammy Watkins,WR,9,2014,Graysmark
Wes Welker,WR,20,2014,Graysmark
Andre Ellington,RB,20,2014,Graysmark
Jordan Cameron,TE,10,2014,Graysmark
Steven Hauschka,K,2,2014,Graysmark
Nick Foles,QB,10,2014,Graysmark
Bernard Pierce,RB,4,2014,Graysmark
Jeremy Hill,RB,1,2014,Graysmark
Jordan Reed,TE,2,2014,Graysmark
LeGarrette Blount,RB,1,2014,Graysmark
Anquan Boldin,WR,2,2014,Graysmark
Dwayne Bowe,WR,1,2014,Graysmark
Matt Stafford,QB,9,2015,Naki
Jamaal Charles,RB,62,2015,Naki
Giovani Bernard,RB,9,2015,Naki
Odell Beckham Jr.,WR,44,2015,Naki
Julio Jones,WR,50,2015,Naki
Larry Fitzgerald,WR,3,2015,Naki
Martellus Bennett,TE,10,2015,Naki
Justin Tucker,K,2,2015,Naki
Knile Davis,RB,2,2015,Naki
Doug Baldwin,WR,2,2015,Naki
DeAngelo Williams,RB,1,2015,Naki
Terrance West,RB,1,2015,Naki
Devin Funchess,WR,1,2015,Naki
Denard Robinson,RB,1,2015,Naki
Aaron Rodgers,QB,30,2015,Alec
Arian Foster,RB,49,2015,Alec
LaGarrette Blount,RB,15,2015,Alec
Dez Bryant,WR,45,2015,Alec
